ID,Condition,Overlap level,Question,Answer Time,Distance Estimation,Estimation Time
0,2,overlap-0,Possible,8.31346,192.5664,9.745406
0,2,overlap-30,Possible,5.209464,154.2189,8.930255
0,3,overlap-75,Impossible,2.175931,157.0603,5.97638
0,1,overlap-75,Impossible,2.803428,150.3933,3.895966
0,3,overlap-75,Impossible,3.448071,168.1667,3.257582
0,3,overlap-60,Impossible,7.912974,157.4467,5.490743
0,1,overlap-45,Possible,2.544657,162.2175,6.167693
0,1,overlap-60,Possible,4.311356,181.6046,2.344892
0,2,overlap-75,Possible,3.3146,167.3025,2.070985
0,2,overlap-0,Possible,1.838394,180.5366,2.697551
0,3,overlap-0,Possible,2.99045,147.8443,2.242877
0,3,overlap-30,Impossible,3.712981,141.094,2.988622
0,2,overlap-60,Impossible,2.169019,168.1412,2.394926
0,3,overlap-30,Impossible,4.706533,155.8958,1.208901
0,3,overlap-0,Possible,1.799303,159.2254,1.54495
0,1,overlap-75,Impossible,1.850989,175.0497,1.452681
0,3,overlap-75,Impossible,2.470776,173.4348,1.670212
0,2,overlap-60,Possible,2.459197,181.0442,2.375743
0,1,overlap-0,Possible,3.386122,193.4456,1.486504
0,3,overlap-30,Possible,3.320988,190.922,1.092161
0,2,overlap-0,Possible,2.471178,169.2459,2.618615
0,3,overlap-60,Impossible,2.012752,172.7486,1.592347
0,1,overlap-0,Possible,2.026341,173.524,0.9696347
0,3,overlap-60,Impossible,6.600056,176.1971,4.648979
0,1,overlap-30,Possible,3.219031,178.3849,1.948623
0,3,overlap-45,Impossible,3.010537,177.675,1.402552
0,1,overlap-60,Impossible,2.404346,134.7399,3.205369
0,2,overlap-75,Impossible,1.811847,171.4329,1.784368
0,1,overlap-60,Impossible,2.373605,149.9431,1.483841
0,3,overlap-45,Possible,2.372189,163.2057,1.638571
0,2,overlap-15,Possible,3.854232,190.6818,1.294072
0,3,overlap-75,Impossible,3.237375,166.1522,1.10252
0,3,overlap-0,Possible,2.210454,193.6995,0.9592322
0,1,overlap-45,Impossible,3.334343,169.6525,2.484947
0,3,overlap-15,Possible,3.066051,166.7948,0.9098334
0,3,overlap-45,Impossible,1.824237,168.7285,1.656314
0,3,overlap-15,Possible,2.147129,150.8202,1.365092
0,1,overlap-0,Possible,4.322514,164.4091,1.96354
0,2,overlap-30,Impossible,1.696287,155.7728,1.300063
0,2,overlap-45,Impossible,1.666751,167.3066,0.8206589
0,1,overlap-30,Possible,2.244934,173.4376,0.8972001
0,1,overlap-30,Possible,2.055987,152.284,1.921538
0,1,overlap-75,Impossible,2.06674,161.7751,1.494457
0,3,overlap-75,Impossible,1.912566,155.1128,1.59354
0,2,overlap-45,Impossible,1.451944,179.0809,1.579878
0,1,overlap-75,Impossible,1.716007,162.6366,1.374749
0,2,overlap-60,Impossible,1.701063,151.9122,0.7110304
0,3,overlap-30,Possible,1.913941,173.0631,1.240402
0,1,overlap-15,Possible,1.861685,172.0166,1.227639
0,1,overlap-75,Impossible,1.863272,154.8332,0.8361524
0,2,overlap-15,Possible,1.827831,152.0492,1.214869
0,2,overlap-75,Impossible,1.897182,161.9762,0.7545521
0,1,overlap-15,Possible,1.741411,146.8634,0.665898
0,3,overlap-45,Impossible,1.944759,156.277,1.467889
0,2,overlap-30,Possible,1.496354,159.0309,1.786609
0,2,overlap-60,Impossible,1.589137,143.4596,1.661142
0,3,overlap-0,Possible,1.57965,164.224,1.230024
0,1,overlap-60,Impossible,1.934164,157.1335,1.414145
0,1,overlap-45,Impossible,1.697732,173.9868,0.8326226
0,1,overlap-15,Possible,1.708729,166.6496,1.232114
0,2,overlap-45,Impossible,2.792397,135.2473,1.245434
0,2,overlap-30,Impossible,1.592592,170.0683,1.083441
0,2,overlap-75,Impossible,3.028365,156.4309,1.551745
0,1,overlap-60,Impossible,2.245895,138.8788,0.9802939
0,3,overlap-15,Possible,1.509562,146.2849,0.7216293
0,2,overlap-60,Impossible,1.612631,131.5174,0.6753829
0,1,overlap-0,Possible,1.73834,164.0665,0.8460565
0,2,overlap-15,Possible,1.586655,156.5193,0.7863747
0,3,overlap-60,Impossible,1.660356,164.425,0.7419021
0,1,overlap-30,Impossible,1.878252,170.3961,0.800202
0,2,overlap-45,Impossible,1.886397,135.0281,0.849854
0,1,overlap-45,Impossible,2.566612,167.8624,0.1067503
0,1,overlap-45,Impossible,1.855641,156.3585,0.7303528
0,2,overlap-45,Impossible,1.929057,146.4857,0.7472907
0,3,overlap-15,Possible,1.628691,173.5093,0.6042146
0,3,overlap-60,Impossible,1.58197,149.5822,0.7529457
0,2,overlap-30,Impossible,3.819894,162.1078,1.440533
0,1,overlap-15,Possible,3.94996,161.888,0.9895621
0,1,overlap-30,Impossible,1.349761,155.3419,0.7702984
0,2,overlap-15,Possible,2.066406,152.9409,0.9196945
0,3,overlap-15,Possible,1.484062,191.6226,0.7533937
0,2,overlap-75,Impossible,2.493481,144.8743,1.279683
0,2,overlap-0,Possible,1.526021,181.2717,0.7706017
0,1,overlap-0,Possible,2.266461,184.3665,0.8185533
0,3,overlap-45,Impossible,1.570725,165.5156,1.542351
0,2,overlap-15,Possible,3.070274,173.629,0.8873431
0,2,overlap-0,Possible,1.520743,187.9598,0.8333309
0,3,overlap-0,Possible,2.196518,181.3839,0.5988171
0,3,overlap-30,Impossible,1.616655,145.1771,1.421036
0,1,overlap-15,Possible,1.528428,163.5296,0.7469891
